gen,id,seq_id,treatment,father_id
F0,F0_1,P24101_1001,0,NA
F0,F0_2,P24101_1002,0,NA
F0,F0_3,P24101_1012,0,NA
F0,F0_4,P24101_1035,0,NA
F0,F0_5,P24101_1024,10,NA
F0,F0_6,P24101_1025,10,NA
F0,F0_7,P24101_1036,10,NA
F0,F0_8,P24101_1051,10,NA
F0,F0_9,P24101_1013,100,NA
F0,F0_10,P24101_1037,100,NA
F0,F0_11,P24101_1052,100,NA
F0,F0_12,P24101_1026,100,NA
F0,F0_13,P24101_1038,0,NA
F0,F0_14,P24101_1056,0,NA
F0,F0_15,P24101_1014,0,NA
F0,F0_16,P24101_1003,0,NA
F0,F0_17,P24101_1039,10,NA
F0,F0_18,P24101_1004,10,NA
F0,F0_19,P24101_1066,10,NA
F0,F0_20,P24101_1027,10,NA
F0,F0_21,P24101_1040,100,NA
F0,F0_22,P24101_1057,100,NA
F0,F0_23,P24101_1015,100,NA
F0,F0_24,P24101_1053,100,NA
F0,F0_25,P24101_1067,0,NA
F0,F0_26,P24101_1005,0,NA
F0,F0_27,P24101_1028,0,NA
F0,F0_28,P24101_1064,0,NA
F0,F0_29,P24101_1058,10,NA
F0,F0_30,P24101_1016,10,NA
F0,F0_31,P24101_1054,10,NA
F0,F0_32,P24101_1068,10,NA
F0,F0_35,P24101_1065,100,NA
F0,F0_36,P24101_1059,100,NA
F1,F1_1,P24101_1017,0,F0_1
F1,F1_2,P24101_1041,10,F0_17
F1,F1_3,P24101_1023,100,F0_9
F1,F1_4,P24101_1030,0,F0_14
F1,F1_5,P24101_1042,10,F0_7
F1,F1_6,P24101_1055,100,F0_35
F1,F1_7,P24101_1018,0,F0_25
F1,F1_8,P24101_1043,10,F0_32
F1,F1_9,P24101_1069,100,F0_34
F1,F1_10,P24101_1031,0,F0_27
F1,F1_11,P24101_1007,10,F0_31
F1,F1_12,P24101_1044,100,F0_21
F1,F1_13,P24101_1060,0,F0_14
F1,F1_14,P24101_1019,10,F0_18
F1,F1_15,P24101_1008,100,F0_33
F1,F1_16,P24101_1045,0,F0_15
F1,F1_17,P24101_1070,10,F0_30
F1,F1_18,P24101_1032,100,F0_24
F1,F1_19,P24101_1046,0,F0_3
F1,F1_20,P24101_1061,10,F0_18
F1,F1_21,P24101_1020,100,F0_36
F1,F1_22,P24101_1009,0,F0_16
F1,F1_23,P24101_1047,10,F0_8
F1,F1_24,P24101_1071,100,F0_23
F1,F1_25,P24101_1033,0,F0_2
F1,F1_26,P24101_1048,10,F0_5
F1,F1_27,P24101_1062,100,F0_11
F1,F1_28,P24101_1021,0,F0_28
F1,F1_29,P24101_1049,10,F0_8
F1,F1_30,P24101_1072,100,F0_12
F1,F1_31,P24101_1034,0,F0_4
F1,F1_32,P24101_1050,10,F0_31
F1,F1_33,P24101_1063,100,F0_22
F1,F1_34,P24101_1022,0,F0_25
F1,F1_35,P24101_1011,10,F0_5
F1,F1_36,P24101_1010,100,F0_10
